         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Tue Dec 08 21:23:56 2015


                     Ending simulation time:      3682.000
                     Elapsed simulation time:     3682.000
                     CPU time used (seconds):      561.156


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs       0.05000  0.262    5.24416    0.48253    0.09201    19309
   > server  0          0.05000  0.022    0.43781                           1612
   > server  1          0.05000  0.019    0.37670                           1387
   > server  2          0.05000  0.017    0.34574                           1273
   > server  3          0.05000  0.016    0.32808                           1208
   > server  4          0.05000  0.016    0.31369                           1155
   > server  5          0.05000  0.015    0.30228                           1113
   > server  6          0.05000  0.015    0.29060                           1070
   > server  7          0.05000  0.014    0.27947                           1029
   > server  8          0.05000  0.013    0.26833                            988
   > server  9          0.05000  0.013    0.25856                            952
   > server 10          0.05000  0.012    0.24470                            901
   > server 11          0.05000  0.012    0.23357                            860
   > server 12          0.05000  0.011    0.22352                            823
   > server 13          0.05000  0.011    0.21537                            793
   > server 14          0.05000  0.010    0.20641                            760
   > server 15          0.05000  0.010    0.19799                            729
   > server 16          0.05000  0.010    0.19039                            701
   > server 17          0.05000  0.009    0.18278                            673
   > server 18          0.05000  0.009    0.17735                            653
   > server 19          0.05000  0.009    0.17083                            629
rSwitch1     fcfs       0.05000  0.130    2.60701    0.17287    0.06631     9599
   > server  0          0.05000  0.020    0.39218                           1444
   > server  1          0.05000  0.013    0.26860                            989
   > server  2          0.05000  0.011    0.21238                            782
   > server  3          0.05000  0.009    0.17871                            658
   > server  4          0.05000  0.008    0.15942                            587
   > server  5          0.05000  0.007    0.14639                            539
   > server  6          0.05000  0.007    0.13525                            498
   > server  7          0.05000  0.006    0.12439                            458
   > server  8          0.05000  0.006    0.11597                            427
   > server  9          0.05000  0.005    0.10728                            395
   > server 10          0.05000  0.005    0.10239                            377
   > server 11          0.05000  0.005    0.09479                            349
   > server 12          0.05000  0.004    0.08827                            325
   > server 13          0.05000  0.004    0.08202                            302
   > server 14          0.05000  0.004    0.07768                            286
   > server 15          0.05000  0.004    0.07224                            266
   > server 16          0.05000  0.003    0.06817                            251
   > server 17          0.05000  0.003    0.06410                            236
   > server 18          0.05000  0.003    0.05975                            220
   > server 19          0.05000  0.003    0.05703                            210
