         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Tue Dec 08 20:14:25 2015


                     Ending simulation time:      3675.910
                     Elapsed simulation time:     3675.910
                     CPU time used (seconds):      509.218


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs       0.05000  0.093    1.85804    0.12283    0.06611     6830
   > server  0          0.05000  0.027    0.53184                           1955
   > server  1          0.05000  0.015    0.29136                           1071
   > server  2          0.05000  0.009    0.18825                            692
   > server  3          0.05000  0.007    0.13004                            478
   > server  4          0.05000  0.005    0.09685                            356
   > server  5          0.05000  0.004    0.07889                            290
   > server  6          0.05000  0.003    0.06447                            237
   > server  7          0.05000  0.003    0.05631                            207
   > server  8          0.05000  0.003    0.05060                            186
   > server  9          0.05000  0.002    0.04625                            170
   > server 10          0.05000  0.002    0.04298                            158
   > server 11          0.05000  0.002    0.03972                            146
   > server 12          0.05000  0.002    0.03645                            134
   > server 13          0.05000  0.002    0.03373                            124
   > server 14          0.05000  0.002    0.03210                            118
   > server 15          0.05000  0.002    0.03074                            113
   > server 16          0.05000  0.001    0.02911                            107
   > server 17          0.05000  0.001    0.02802                            103
   > server 18          0.05000  0.001    0.02584                             95
   > server 19          0.05000  0.001    0.02448                             90
rSwitch1     fcfs       0.05000  0.078    1.55308    0.08158    0.05253     5709
   > server  0          0.05000  0.024    0.48260                           1774
   > server  1          0.05000  0.014    0.27068                            995
   > server  2          0.05000  0.009    0.17955                            660
   > server  3          0.05000  0.006    0.11752                            432
   > server  4          0.05000  0.004    0.08841                            325
   > server  5          0.05000  0.003    0.06964                            256
   > server  6          0.05000  0.003    0.05631                            207
   > server  7          0.05000  0.002    0.04761                            175
   > server  8          0.05000  0.002    0.03945                            145
   > server  9          0.05000  0.002    0.03264                            120
   > server 10          0.05000  0.001    0.02775                            102
   > server 11          0.05000  0.001    0.02530                             93
   > server 12          0.05000  0.001    0.02258                             83
   > server 13          0.05000  0.001    0.01904                             70
   > server 14          0.05000  0.001    0.01632                             60
   > server 15          0.05000  0.001    0.01415                             52
   > server 16          0.05000  0.001    0.01306                             48
   > server 17          0.05000  0.001    0.01061                             39
   > server 18          0.05000  0.001    0.01061                             39
   > server 19          0.05000  0.000    0.00925                             34
