         C++/CSIM Simulation Report (Version 20.0 for MS Visual C/C++)

                           Tue Dec 08 15:04:59 2015


                     Ending simulation time:      3672.710
                     Elapsed simulation time:     3672.710
                     CPU time used (seconds):      874.706


FACILITY SUMMARY 

facility     service    service          through-    queue     response   compl
name           disc      time    util.     put       length      time     count
--------------------------------------------------------------------------------
rSwitch0     fcfs       0.05000  0.064    1.28298    0.06690    0.05215     4712
   > server  0          0.05000  0.022    0.44055                           1618
   > server  1          0.05000  0.012    0.23661                            869
   > server  2          0.05000  0.007    0.14757                            542
   > server  3          0.05000  0.005    0.09693                            356
   > server  4          0.05000  0.003    0.06780                            249
   > server  5          0.05000  0.003    0.05146                            189
   > server  6          0.05000  0.002    0.03866                            142
   > server  7          0.05000  0.002    0.03186                            117
   > server  8          0.05000  0.001    0.02723                            100
   > server  9          0.05000  0.001    0.02451                             90
   > server 10          0.05000  0.001    0.02151                             79
   > server 11          0.05000  0.001    0.01933                             71
   > server 12          0.05000  0.001    0.01661                             61
   > server 13          0.05000  0.001    0.01361                             50
   > server 14          0.05000  0.001    0.01089                             40
   > server 15          0.05000  0.000    0.00899                             33
   > server 16          0.05000  0.000    0.00817                             30
   > server 17          0.05000  0.000    0.00708                             26
   > server 18          0.05000  0.000    0.00708                             26
   > server 19          0.05000  0.000    0.00653                             24
rSwitch1     fcfs       0.05000  0.067    1.33199    0.07028    0.05276     4892
   > server  0          0.05000  0.020    0.39916                           1466
   > server  1          0.05000  0.011    0.22844                            839
   > server  2          0.05000  0.008    0.15166                            557
   > server  3          0.05000  0.005    0.10020                            368
   > server  4          0.05000  0.004    0.07433                            273
   > server  5          0.05000  0.003    0.06126                            225
   > server  6          0.05000  0.003    0.05092                            187
   > server  7          0.05000  0.002    0.04302                            158
   > server  8          0.05000  0.002    0.03567                            131
   > server  9          0.05000  0.002    0.03158                            116
   > server 10          0.05000  0.001    0.02696                             99
   > server 11          0.05000  0.001    0.02260                             83
   > server 12          0.05000  0.001    0.01988                             73
   > server 13          0.05000  0.001    0.01743                             64
   > server 14          0.05000  0.001    0.01525                             56
   > server 15          0.05000  0.001    0.01416                             52
   > server 16          0.05000  0.001    0.01225                             45
   > server 17          0.05000  0.000    0.00953                             35
   > server 18          0.05000  0.000    0.00926                             34
   > server 19          0.05000  0.000    0.00844                             31
